"Story","Title","Result","Date","Stability","Duration (s)"
"Pet Management","getting Pet Availability","SUCCESS","2021-04-05T17:46:12.205+02:00[Europe/Madrid]","0.0","3.31"
"Pet Management","adding a new pet","SUCCESS","2021-04-05T17:46:15.526+02:00[Europe/Madrid]","0.0","1.32"
"Pet Management","Updating a pet","SUCCESS","2021-04-05T17:46:16.854+02:00[Europe/Madrid]","0.0","1.26"
"Pet Management","Deleting a pet","SUCCESS","2021-04-05T17:46:18.122+02:00[Europe/Madrid]","0.0","0.68"
"Manage my products","Adding product desired","SUCCESS","2021-04-05T17:44:54.187+02:00[Europe/Madrid]","0.0","39.4"
"Manage my products","Deleting Product","SUCCESS","2021-04-05T17:45:33.592+02:00[Europe/Madrid]","0.0","3.77"
"Manage my products","purchasing products","SUCCESS","2021-04-05T17:45:37.366+02:00[Europe/Madrid]","0.0","9.87"
"Manage my products","Browsing all the categories of the web","SUCCESS","2021-04-05T17:45:47.236+02:00[Europe/Madrid]","0.0","23.74"
