"Story","Title","Result","Date","Stability","Duration (s)"
"Manage my products","Adding product desired","SUCCESS","2021-04-05T18:02:14.716+02:00[Europe/Madrid]","0.0","43.69"
"Manage my products","Deleting Product","SUCCESS","2021-04-05T18:02:58.413+02:00[Europe/Madrid]","0.0","4.3"
"Manage my products","purchasing products","SUCCESS","2021-04-05T18:03:02.713+02:00[Europe/Madrid]","0.0","9.98"
"Manage my products","Closing lightBox Purchase","SUCCESS","2021-04-05T18:03:12.698+02:00[Europe/Madrid]","0.0","12.59"
"Manage my products","Browsing all the categories of the web","SUCCESS","2021-04-05T18:03:25.288+02:00[Europe/Madrid]","0.0","24.07"
